True	Pred	Utterance
AddToPlaylist	SearchCreativeWork	[CLS] add recalled to life to this is alejandro fernandez [SEP]
AddToPlaylist	PlayMusic	[CLS] for my fantastic workout can you add sara bareilles [SEP]
BookRestaurant	SearchCreativeWork	[CLS] book a reservation for my babies and i [SEP]
GetWeather	SearchScreeningEvent	[CLS] where is belgium located [SEP]
PlayMusic	SearchCreativeWork	[CLS] let me hear the good songs from james iha [SEP]
PlayMusic	AddToPlaylist	[CLS] play my inventive playlist [SEP]
PlayMusic	SearchScreeningEvent	[CLS] i want to hear a seventies sound track [SEP]
PlayMusic	SearchCreativeWork	[CLS] open itunes and play ben burnley ready to die [SEP]
PlayMusic	SearchCreativeWork	[CLS] play all things must pass [SEP]
PlayMusic	AddToPlaylist	[CLS] please play my ecstatic playlist [SEP]
PlayMusic	SearchScreeningEvent	[CLS] live in l a joseph meyer please [SEP]
PlayMusic	SearchScreeningEvent	[CLS] please tune into chieko ochi s good music [SEP]
PlayMusic	SearchCreativeWork	[CLS] play the best becca [SEP]
PlayMusic	SearchScreeningEvent	[CLS] use the last fm service to play a mis ninos de 30 [SEP]
PlayMusic	AddToPlaylist	[CLS] play my black sabbath : the dio years playlist [SEP]
PlayMusic	SearchScreeningEvent	[CLS] i want to hear anything from the rock symphonique genre please [SEP]
PlayMusic	SearchScreeningEvent	[CLS] please open zvooq [SEP]
RateBook	SearchCreativeWork	[CLS] give one start to the current book [SEP]
SearchCreativeWork	SearchScreeningEvent	[CLS] please search for switched [SEP]
SearchCreativeWork	SearchScreeningEvent	[CLS] could you locate the epic conditions picture [SEP]
SearchCreativeWork	SearchScreeningEvent	[CLS] am looking for a book with the title free to play [SEP]
SearchCreativeWork	RateBook	[CLS] find four songs [SEP]
SearchScreeningEvent	GetWeather	[CLS] what s the movie schedule [SEP]
SearchScreeningEvent	SearchCreativeWork	[CLS] i want to see jla adventures : trapped in time [SEP]
SearchScreeningEvent	SearchCreativeWork	[CLS] show me the schedule for rat rod rockers [SEP]
SearchScreeningEvent	SearchCreativeWork	[CLS] where can i see the prime ministers : the pioneers [SEP]
SearchScreeningEvent	SearchCreativeWork	[CLS] i need to find the movie theatre showing the crooked web closest to me [SEP]
SearchScreeningEvent	GetWeather	[CLS] what are the movies showing in the neighbourhood [SEP]
SearchScreeningEvent	SearchCreativeWork	[CLS] i want to see i dream of jeanie in a movie theatre [SEP]
SearchScreeningEvent	SearchCreativeWork	[CLS] show me the schedule for the oblong box [SEP]
SearchScreeningEvent	SearchCreativeWork	[CLS] i want to see medal for the general [SEP]
SearchScreeningEvent	GetWeather	[CLS] what are the movie schedules in the neighborhood [SEP]
SearchScreeningEvent	SearchCreativeWork	[CLS] i want to see fear chamber [SEP]
SearchScreeningEvent	SearchCreativeWork	[CLS] i want to see shattered image [SEP]
SearchScreeningEvent	SearchCreativeWork	[CLS] find the schedule for great mail robbery [SEP]
SearchScreeningEvent	SearchCreativeWork	[CLS] i want to see outcast [SEP]
SearchScreeningEvent	SearchCreativeWork	[CLS] can you check the timings for super sweet 16 : the movie [SEP]
SearchScreeningEvent	SearchCreativeWork	[CLS] what are the times for the gingerbread man [SEP]
SearchScreeningEvent	GetWeather	[CLS] what are the movie times for animated movies in the neighbourhood [SEP]
SearchScreeningEvent	SearchCreativeWork	[CLS] in one hour find king of hearts [SEP]
AddToPlaylist	SearchCreativeWork	[CLS] add to the rock games [SEP]
SearchScreeningEvent	SearchCreativeWork	[CLS] find now and forever [SEP]
AddToPlaylist	PlayMusic	[CLS] the workout playlist needs more chris cross [SEP]
PlayMusic	SearchScreeningEvent	[CLS] play this is colour by panda bear [SEP]
SearchScreeningEvent	SearchCreativeWork	[CLS] can i get the butterfly crush showings [SEP]
SearchScreeningEvent	SearchCreativeWork	[CLS] what is dear old girl cooper foundation [SEP]
PlayMusic	SearchCreativeWork	[CLS] play the track asleep in the deep [SEP]
AddToPlaylist	PlayMusic	[CLS] the sleep machine waterscapes playlist needs some kris chetan ramlu in it [SEP]
SearchCreativeWork	SearchScreeningEvent	[CLS] can i get the game list of mew singles [SEP]
PlayMusic	SearchCreativeWork	[CLS] use netflix to play bizzy bone kiss me goodnight sergeant major [SEP]
SearchCreativeWork	SearchScreeningEvent	[CLS] what is the tv series in app store [SEP]
PlayMusic	SearchScreeningEvent	[CLS] can i listen to dj vibe s top 10 [SEP]
SearchCreativeWork	SearchScreeningEvent	[CLS] can you tell me the actors of the saga awards / [SEP]
SearchScreeningEvent	BookRestaurant	[CLS] find the schedule for the solitude of prime numbers at the nearest cinema in 1 hour [SEP]
GetWeather	BookRestaurant	[CLS] i need a table in uruguay in 213 days when it s chillier [SEP]
SearchScreeningEvent	SearchCreativeWork	[CLS] find heat wave [SEP]
SearchCreativeWork	PlayMusic	[CLS] play the electrochemical and solid state letters song [SEP]
PlayMusic	SearchCreativeWork	[CLS] please play bitch please ii [SEP]
SearchScreeningEvent	SearchCreativeWork	[CLS] i want to go see the trouble with girls [SEP]
SearchScreeningEvent	PlayMusic	[CLS] i d like to know when i can see the taking of flight 847 : the uli derickson story at amco entertainment [SEP]
SearchCreativeWork	SearchScreeningEvent	[CLS] how do i get the game still on it [SEP]
SearchScreeningEvent	BookRestaurant	[CLS] find a movie house for 07 : 52 showing ganges : river to heaven [SEP]
SearchScreeningEvent	SearchCreativeWork	[CLS] i d like to watch take this waltz [SEP]
SearchScreeningEvent	SearchCreativeWork	[CLS] show me the nearest movie house showing the luckiest girl in the world [SEP]
PlayMusic	SearchCreativeWork	[CLS] play the song shine a light [SEP]
SearchCreativeWork	SearchScreeningEvent	[CLS] where can i watch tv series shopping spree [SEP]
AddToPlaylist	SearchCreativeWork	[CLS] i d like to put qriii onto songs to sing in the car [SEP]
PlayMusic	SearchCreativeWork	[CLS] play me a cinder block movement [SEP]
SearchScreeningEvent	SearchCreativeWork	[CLS] i d like to watch may blossom [SEP]
SearchCreativeWork	SearchScreeningEvent	[CLS] pull up sweeney todd - il diabolico barbiere di fleet street [SEP]
PlayMusic	SearchCreativeWork	[CLS] do you have something like impossible is nothing by abderrahmane abdelli [SEP]
SearchScreeningEvent	SearchCreativeWork	[CLS] i d like to watch wish you were dead [SEP]
