بعد يوم عمل شاق لدي ألم في القدم,آلام القدم
بعد الأكل أشعر بحرقان بداخلي.,ألم المعدة
بعد لعب كرة القدم ، أشعر بألم في ساقيّ.,ألم عضلي
بعد لعب التنس ، كان لدي إحساس قوي بالقرب من رقبتي,الم الكتف
كل جسدي في حالة سيئة وأحتاج إلى علاج جيد,الم المفاصل
فجأة شعرت بالدوار عندما وقفت.,الشعور بالدوار
في البداية تشعر بالخدر حقًا ، ولكن بعد ذلك تبدأ ألف إبرة في الوخز في قدمي.,آلام القدم
تشنجات على طول البطن كله,ألم المعدة
الانزعاج أو الألم الذي يشعر به في وقت ما على طول الجزء الأمامي من الجسم بين الرقبة وأعلى البطن.,ألم داخلي
حتى لو كانت درجة الحرارة مرتفعة في المنزل ، فإن جسمي بارد دائمًا,الشعور بالبرد
في كل مرة أمشط شعري هناك الكثير من الشعر في مشطتي.,تساقط الشعر
في كل مرة أنظر فيها إلى اليسار أشعر بألم حاد في رقبتي.,الم الرقبة
في كل مرة تمطر أحصل على خلايا النحل على بطني وجانبي.,مشكلة الجلد
لو قمت بدس على إبرة لما كانت ستتألم كثيراً ، مثل هذا الحفز اللعين في كعبي.,آلام القدم
أجد صعوبة في تحريك ركبتي,ألم الركبة
التنفس الشديد مع التعب,الألم العاطفي
بدأ جرحه المصاب بالتعفن.,جرح مصاب
أشعر دائمًا أنني أعاني من آلام الدورة الشهرية حتى لو لم يكن لدي الدورة الشهرية.,ألم داخلي
أشعر بالبرد دائمًا ، حتى عندما أرتدي طبقات,الشعور بالبرد
أشعر بالدوار ، والجسد هش للغاية.,يشعر الجسم بالضعف
أنا قلق من مدى عدم تحمل البرد ، أنا أرتعش دائمًا ، حتى في الشمس.,الشعور بالبرد
أنا بالكاد أستطيع التنفس,من الصعب التنفس
بالكاد أستطيع تحريك رقبتي. هذا مؤلم.,الم الرقبة
لا أستطيع أن أسمع من أذني بشكل صحيح ، أشعر أن هناك شيئًا يسبب تهيجًا.,ألم الأذن
لا أستطيع الوقوف ، أشعر أن دماغي يتحرك داخل جمجمتي.,صداع الراس
لا أستطيع المشي بشكل جيد ولدي وجع في قدمي,آلام القدم
لا أستطيع العمل بشكل جيد لدي ألم في ركبتي,ألم الركبة
