phrase	prompt	prompt_ID
When I remember her I feel down	Emotional pain	6
When I carry heavy things I feel like breaking my back	Hair falling out	10
there is too much pain when i move my arm	Heart hurts	13
My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.	Infected wound	14
My muscles in my lower back are aching	Infected wound	14
"i have muscle pain that my back
I Have Muscle Pain at my back leg"	Foot ache	9
I have muscle pain in my left leg	Shoulder pain	22
I have cut my finger because of playing football and I have to apply pain relief cream but it does not help	Injury from sports	15
I have acne in my face and other problems in my derma like itching	Skin issue	23
I have a strange rash on my arm	Foot ache	9
I have a sharp pain in my lower stomach.	Stomach ache	24
i have a knee pain when i walk a lot	Knee pain	18
dr. I feel a strange and powerful pain inside my rib cage	Heart hurts	13
Don't cry	Joint pain	17
I have for dia	Heart hurts	13
I used to be out of breath after going up a dozen of stairs, but now I struggle to breath even when I sit down.	Hard to breath	11
i feel that it's hard to breath for me specially after running or making any effort	Hard to breath	11
I read a book for along time and when I finished reading I feel head ache	Head ache	12
i cant sleep because of cold	Injury from sports	15
My infected wound cause fever	Skin issue	23
I lose a lot of my hair	Body feels weak	3
i feel dizzy after severe diarrhea	Feeling dizzy	8
I feel a pain in my back	Back pain	1
Laceration, rupture or opening in the skin	Open wound	21
My back hurts me and i can't bend it or walk	Back pain	1
My head hurts whenever I try to do something.	Head ache	12
I have dark spots on my skin	Skin issue	23
I feel a sharp pain in my stomach	Internal pain	16
I can't do anything I feel a weak in my body	Body feels weak	3
I have cloudy eyes	Blurry vision	2
I have a back pain since I turned 70 years old.	Back pain	1
I tried to put my glasses to see more clear but cant find any change	Blurry vision	2
I feel deep Tingling when I touch Acne followed by bad sensation	Acne	0
My acne gets worse when it is hot	Acne	0
Sometimes I feel like a claw on my chest that leaves me breathless.	Hard to breath	11
my abdominal muscles have great pain since i was at GYM	Muscle pain	19
My back got injured while i was lifting at the gym	Injury from sports	15
my ankle is hurting me	Joint pain	17
I think my wound is infected	Infected wound	14
i feel pain in my knee	Knee pain	18
My skin is very dry and peeling.	Skin issue	23
i can't move my shoulder because of pain	Shoulder pain	22
when i wake up in the morning i feel dizzy	Feeling dizzy	8
My hair is falling out in huge amount	Hair falling out	10
I have a sharp pain in my neck	Neck pain	20
There is pain in the muscles I do not know caused	Muscle pain	19
I have a problem in the expiration because i have abronchial asthma	Hard to breath	11
Every time I make an effort, I felt dizzy.	Feeling dizzy	8
I have a powerful pain inside my neck	Neck pain	20
I have a pain internal	Internal pain	16
chronic disease of hair follicles and sebaceous glands.	Acne	0
I feel a huge emotional pain after I broke up with my girlfriend.	Emotional pain	6
When I stand up too quickly I start to feel dizzy and light-headed	Feeling dizzy	8
I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.	Heart hurts	13
I have a feeling like my whole body is complaining	Joint pain	17
My knee hurts when I play squash	Knee pain	18
i can't see well	Blurry vision	2
I tried alot of cream but i still feel the same skin problem	Skin issue	23
It feels like someone stuck a knife into my shoulder	Shoulder pain	22
I feel a burning sensation in my shoulder muscle.	Muscle pain	19
I cut my foot at the pool and it breaks open every day when I walk on it.	Open wound	21
My knee catches and hurts when I first stand up after sitting.	Knee pain	18
I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better.	Infected wound	14
I feel pain in my shoulders when I write on the keyboard.	Shoulder pain	22
i have a problem in seeing objects it is too difficult to see	Blurry vision	2
glass broken and wound my leg badly the wound is so wide	Open wound	21
I have a blurry vision during my swimming training in the pool, why?	Blurry vision	2
I love to walk and be outside but the bottoms of my feet get sore so quickly.	Foot ache	9
I feel pain in my knee when I climb the stairs.	Joint pain	17
I get tired too fast, I can barely put on my clothes in the morning.	Body feels weak	3
My knee hurts when I walk	Knee pain	18
i can't rotate my neck	Neck pain	20
My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.	Infected wound	14
i have a problem in my back i cannot extend it	Back pain	1
I can't walk because i have a great foot ache	Foot ache	9
My heart is beating fast and it scares me.	Heart hurts	13
I used to have acne when I was 15 years old	Acne	0
My muscles in my lower back are aching.	Muscle pain	19
My shoulder muscle hurts when I try to reach up.	Muscle pain	19
I feel heart pain when I walk a lot	Heart hurts	13
My skin is itchy and inflamed	Skin issue	23
I have a cold and it makes me cough alot	Cough	4
I have a dry throat	Cough	4
I'm not hearing well I have problem with my ear	Ear ache	5
My foot is hurting so much.	Foot ache	9
My shower drain is full of hair every time.	Hair falling out	10
I have front head pain and when I get it the light bothers me.	Head ache	12
Even though I'm an adult my face keeps breaking out in pimples.	Acne	0
When I get out of bed in the morning my body feels very weak.	Body feels weak	3
surgical wounds red, firing pus, painful and hot to the touch	Infected wound	14
Feel like something is being jabbed into my joints	Joint pain	17
The arches of my feet hurt when I wear heels	Foot ache	9
I feel pain in the lower back	Back pain	1
I have a dull ache in my head	Head ache	12
I feel a pain in my neck	Neck pain	20
i have pain but i can't specify place	Internal pain	16
I have an ear ache that won't go away.  I don't have a cold or headache or any other symptoms.  Just an earache.	Ear ache	5
I feel joint pain every time I move	Joint pain	17
i have a hard pain in my stomach	Stomach ache	24
My left ear is ok, but the right one feels like it's being stabbed with a nail.	Ear ache	5
I need a kind of cream wich make my muscles more relaxed	Muscle pain	19
I have a back pain since I fell on the floor.	Back pain	1
I feel lightheaded	Feeling dizzy	8
My body aches on the inside between my hips and shoulders.	Internal pain	16
I have a foot ache after running 500m with my running shoes.	Foot ache	9
I was diagnosed with  B12-deficiency anemia, which explains why I always felt cold.	Feeling cold	7
i feel hurt, lot of pain in my heart	Emotional pain	6
I break out on my face very frequently	Acne	0
I have tried to relief it but I can't	Body feels weak	3
I stopped sports because I get Injury from sports	Injury from sports	15
Every time I take a deep breath I start coughing	Cough	4
when i extend my leg there is pain in knee joint	Joint pain	17
my head hurts me badly	Head ache	12
when i was washing my hair it was falling out heavily	Hair falling out	10
I hate my acne.	Acne	0
i have pain like needles in my joints.	Joint pain	17
i have a great pain in my thorax from heart injury	Heart hurts	13
I don't know why I'm constantly sad.	Emotional pain	6
i feel pain in my neck	Neck pain	20
My muscles feel tired	Body feels weak	3
i feel pain in my stomach	Stomach ache	24
I have a foot ache in winter, or when it feels cold, why?	Foot ache	9
My back is hurting so much.	Back pain	1
The pain feels like it's right below the skin	Muscle pain	19
I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise.	Knee pain	18
There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.	Muscle pain	19
my child has cough all night, she can't sleep	Cough	4
I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?	Feeling dizzy	8
When I play sports  I have some burning sensation in my spine	Back pain	1
I have a hard muscle pain since i went to the gym	Muscle pain	19
my hair falling out	Hair falling out	10
I feel aching on my insides.	Internal pain	16
I have this strange rash on my arm.	Skin issue	23
My face break out badly every month around my cycle.	Acne	0
I have a lot of mucus when I cough.	Cough	4
i'm disappointed	Emotional pain	6
I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger.	Stomach ache	24
I was playing soccer and I twisted my ankle	Injury from sports	15
My son squeezed a pimple and it broke open only to scab over and now looks like it is infected.	Infected wound	14
I feel so sore in my stomach area.	Stomach ache	24
i have shoulder pain after doing any home work.	Shoulder pain	22
laceration, rupture or opening in the skin	Open wound	21
I can't carry anything I have a pain in my shoulder	Shoulder pain	22
How do you know if you have a torn meniscus in your knee?	Knee pain	18
My head gets dizzy when I try to get up.	Feeling dizzy	8
I feel pain when parting loved ones	Emotional pain	6
there is a red stain in my skin	Skin issue	23
i can't walk, my knee hurts me	Knee pain	18
My body feels weak and I tried to make it relax but it stills pain me	Body feels weak	3
I feel increased heart rate with prick	Heart hurts	13
My grandson cut his foot on a seashell in the ocean and now the foot is turning gray and is puffy.	Infected wound	14
The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.	Head ache	12
i have a problem in my middle ear made by infection	Ear ache	5
My television and computer seem out of focus even though I have new glasses.	Blurry vision	2
I have a break in the skin between my thumb and index finger and it will not close.	Open wound	21
When I brush my hair I notice big clumps of hair coming out in the brush.	Hair falling out	10
I feel pain in the knee when walking	Knee pain	18
I'm not feeling good I can't take my breath	Hard to breath	11
I feel pain inside and I can not identify it	Internal pain	16
I have an indigestion	Stomach ache	24
I m feeling cold though the temperature is high	Feeling cold	7
My body feels weak although I take my vitamins regularly.	Body feels weak	3
i feel pain in my body	Internal pain	16
The pain is intense especially when I go down the stairs, it feels like something has snapped inside my knee.	Knee pain	18
I get an ear ache when it is cold	Ear ache	5
My joints feel swollen	Joint pain	17
When I stand I feel dizzy I do not know why	Feeling dizzy	8
My lower back hurts but it improves if I stretch it	Muscle pain	19
I got acne when I ate chili	Acne	0
I could not exercise because of my knee pain	Knee pain	18
A terrible fall in hair	Hair falling out	10
my ear hurts me badly	Ear ache	5
My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.	Infected wound	14
heart aches so much	Heart hurts	13
My throught is so sore.	Neck pain	20
The pain in my ear is unbearable.	Ear ache	5
My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.	Infected wound	14
Chronic bone disease at the level of the doubles of the lower Estremidades	Knee pain	18
My knees hurt so bad to walk that I stay sitting more than I should.	Knee pain	18
I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.	Emotional pain	6
My kneecap feels like it is grating bone on bone when I walk.	Knee pain	18
I feel suicidal.	Emotional pain	6
I feel pain in my joint after an injury in the last football match I played.	Joint pain	17
I feel dizzy whenever I stand up.	Feeling dizzy	8
Annoyance starts suddenly, often after an injury or exercise.	Knee pain	18
I feel pain in my eyes I can see fog	Blurry vision	2
Can't keep focus	Head ache	12
I feel fluid trying to come up when I cough.	Cough	4
My skin color on my back is red, I don't know why.	Skin issue	23
I'm suffering from sharp cough Accompanied by  phlegm	Cough	4
When I move my shoulder, it's like lightning is being sent through my shoulder	Shoulder pain	22
I feel a tightness in my chest	Hard to breath	11
My chest hurts when I smoke	Internal pain	16
I have a foot ache although I don't walk a lot.	Foot ache	9
i feel pain in my foot	Foot ache	9
I had a collision while playing soccer.  My knee buckled and now it's unstable.	Injury from sports	15
I usually have a bad cough when I get flu.	Cough	4
i was playing basketball yesterday, i have sprained ankle	Injury from sports	15
