phrase,prompt
When I remember her I feel down,Emotional pain
When I carry heavy things I feel like breaking my back,Hair falling out
there is too much pain when i move my arm,Heart hurts
My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.,Infected wound
My muscles in my lower back are aching,Infected wound
"i have muscle pain that my back
I Have Muscle Pain at my back leg",Foot ache
I have muscle pain in my left leg,Shoulder pain
I have cut my finger because of playing football and I have to apply pain relief cream but it does not help,Injury from sports
I have acne in my face and other problems in my derma like itching,Skin issue
I have a strange rash on my arm,Foot ache
I have a sharp pain in my lower stomach.,Stomach ache
i have a knee pain when i walk a lot,Knee pain
dr. I feel a strange and powerful pain inside my rib cage,Heart hurts
Don't cry,Joint pain
I have for dia,Heart hurts
"I used to be out of breath after going up a dozen of stairs, but now I struggle to breath even when I sit down.",Hard to breath
i feel that it's hard to breath for me specially after running or making any effort,Hard to breath
I read a book for along time and when I finished reading I feel head ache,Head ache
i cant sleep because of cold,Injury from sports
My infected wound cause fever,Skin issue
I lose a lot of my hair,Body feels weak
i feel dizzy after severe diarrhea,Feeling dizzy
I feel a pain in my back,Back pain
"Laceration, rupture or opening in the skin",Open wound
My back hurts me and i can't bend it or walk,Back pain
My head hurts whenever I try to do something.,Head ache
I have dark spots on my skin,Skin issue
I feel a sharp pain in my stomach,Internal pain
I can't do anything I feel a weak in my body,Body feels weak
I have cloudy eyes,Blurry vision
I have a back pain since I turned 70 years old.,Back pain
I tried to put my glasses to see more clear but cant find any change,Blurry vision
I feel deep Tingling when I touch Acne followed by bad sensation,Acne
My acne gets worse when it is hot,Acne
Sometimes I feel like a claw on my chest that leaves me breathless.,Hard to breath
my abdominal muscles have great pain since i was at GYM,Muscle pain
My back got injured while i was lifting at the gym,Injury from sports
my ankle is hurting me,Joint pain
I think my wound is infected,Infected wound
i feel pain in my knee,Knee pain
My skin is very dry and peeling.,Skin issue
i can't move my shoulder because of pain,Shoulder pain
when i wake up in the morning i feel dizzy,Feeling dizzy
My hair is falling out in huge amount,Hair falling out
I have a sharp pain in my neck,Neck pain
There is pain in the muscles I do not know caused,Muscle pain
I have a problem in the expiration because i have abronchial asthma,Hard to breath
"Every time I make an effort, I felt dizzy.",Feeling dizzy
I have a powerful pain inside my neck,Neck pain
I have a pain internal,Internal pain
chronic disease of hair follicles and sebaceous glands.,Acne
I feel a huge emotional pain after I broke up with my girlfriend.,Emotional pain
When I stand up too quickly I start to feel dizzy and light-headed,Feeling dizzy
I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.,Heart hurts
I have a feeling like my whole body is complaining,Joint pain
My knee hurts when I play squash,Knee pain
i can't see well,Blurry vision
I tried alot of cream but i still feel the same skin problem,Skin issue
It feels like someone stuck a knife into my shoulder,Shoulder pain
I feel a burning sensation in my shoulder muscle.,Muscle pain
I cut my foot at the pool and it breaks open every day when I walk on it.,Open wound
My knee catches and hurts when I first stand up after sitting.,Knee pain
I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better.,Infected wound
I feel pain in my shoulders when I write on the keyboard.,Shoulder pain
i have a problem in seeing objects it is too difficult to see,Blurry vision
glass broken and wound my leg badly the wound is so wide,Open wound
"I have a blurry vision during my swimming training in the pool, why?",Blurry vision
I love to walk and be outside but the bottoms of my feet get sore so quickly.,Foot ache
I feel pain in my knee when I climb the stairs.,Joint pain
"I get tired too fast, I can barely put on my clothes in the morning.",Body feels weak
My knee hurts when I walk,Knee pain
i can't rotate my neck,Neck pain
My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound
i have a problem in my back i cannot extend it,Back pain
I can't walk because i have a great foot ache,Foot ache
My heart is beating fast and it scares me.,Heart hurts
I used to have acne when I was 15 years old,Acne
My muscles in my lower back are aching.,Muscle pain
My shoulder muscle hurts when I try to reach up.,Muscle pain
I feel heart pain when I walk a lot,Heart hurts
My hair is falling out in huge amount,Hair falling out
I feel a pain in my back,Back pain
My skin is itchy and inflamed,Skin issue
i can't see well,Blurry vision
I have a cold and it makes me cough alot,Cough
I have a dry throat,Cough
I'm not hearing well I have problem with my ear,Ear ache
My foot is hurting so much.,Foot ache
My shower drain is full of hair every time.,Hair falling out
I have front head pain and when I get it the light bothers me.,Head ache
Even though I'm an adult my face keeps breaking out in pimples.,Acne
When I get out of bed in the morning my body feels very weak.,Body feels weak
My knee catches and hurts when I first stand up after sitting.,Knee pain
"surgical wounds red, firing pus, painful and hot to the touch",Infected wound
Feel like something is being jabbed into my joints,Joint pain
The arches of my feet hurt when I wear heels,Foot ache
I feel pain in the lower back,Back pain
I have a dull ache in my head,Head ache
The arches of my feet hurt when I wear heels,Foot ache
I feel a pain in my neck,Neck pain
I have a sharp pain in my neck,Neck pain
i have pain but i can't specify place,Internal pain
I have an ear ache that won't go away.  I don't have a cold or headache or any other symptoms.  Just an earache.,Ear ache
I have cloudy eyes,Blurry vision
I feel joint pain every time I move,Joint pain
i have a hard pain in my stomach,Stomach ache
"My left ear is ok, but the right one feels like it's being stabbed with a nail.",Ear ache
I need a kind of cream wich make my muscles more relaxed,Muscle pain
I have a back pain since I fell on the floor.,Back pain
I feel lightheaded,Feeling dizzy
My body aches on the inside between my hips and shoulders.,Internal pain
I have a foot ache after running 500m with my running shoes.,Foot ache
"I was diagnosed with  B12-deficiency anemia, which explains why I always felt cold.",Feeling cold
"i feel hurt, lot of pain in my heart",Emotional pain
I read a book for along time and when I finished reading I feel head ache,Head ache
I break out on my face very frequently,Acne
I have tried to relief it but I can't,Body feels weak
I stopped sports because I get Injury from sports,Injury from sports
Every time I take a deep breath I start coughing,Cough
when i extend my leg there is pain in knee joint,Joint pain
my head hurts me badly,Head ache
when i was washing my hair it was falling out heavily,Hair falling out
I hate my acne.,Acne
My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,Infected wound
i have pain like needles in my joints.,Joint pain
i have a great pain in my thorax from heart injury,Heart hurts
I don't know why I'm constantly sad.,Emotional pain
i feel pain in my neck,Neck pain
My muscles feel tired,Body feels weak
I tried to put my glasses to see more clear but cant find any change,Blurry vision
i feel pain in my stomach,Stomach ache
The arches of my feet hurt when I wear heels,Foot ache
"I have a foot ache in winter, or when it feels cold, why?",Foot ache
My back is hurting so much.,Back pain
The pain feels like it's right below the skin,Muscle pain
"I am struggling to bear weight on my knee, when i stand straight I feel and hear a loud popping noise.",Knee pain
There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain
I have a pain internal,Internal pain
"my child has cough all night, she can't sleep",Cough
"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?",Feeling dizzy
When I play sports  I have some burning sensation in my spine,Back pain
I have a hard muscle pain since i went to the gym,Muscle pain
my hair falling out,Hair falling out
I feel joint pain every time I move,Joint pain
I feel aching on my insides.,Internal pain
I have this strange rash on my arm.,Skin issue
My face break out badly every month around my cycle.,Acne
I have a lot of mucus when I cough.,Cough
i'm disappointed,Emotional pain
I often get a stomach ache after I eat.  I haven't been able to pinpoint which foods might be the trigger.,Stomach ache
"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?",Feeling dizzy
I was playing soccer and I twisted my ankle,Injury from sports
My son squeezed a pimple and it broke open only to scab over and now looks like it is infected.,Infected wound
I feel so sore in my stomach area.,Stomach ache
i have shoulder pain after doing any home work.,Shoulder pain
"laceration, rupture or opening in the skin",Open wound
I can't carry anything I have a pain in my shoulder,Shoulder pain
How do you know if you have a torn meniscus in your knee?,Knee pain
My head gets dizzy when I try to get up.,Feeling dizzy
I feel pain when parting loved ones,Emotional pain
I think my wound is infected,Infected wound
i feel dizzy after severe diarrhea,Feeling dizzy
there is a red stain in my skin,Skin issue
"i can't walk, my knee hurts me",Knee pain
I feel a pain in my back,Back pain
My body feels weak and I tried to make it relax but it stills pain me,Body feels weak
I feel increased heart rate with prick,Heart hurts
My grandson cut his foot on a seashell in the ocean and now the foot is turning gray and is puffy.,Infected wound
I feel increased heart rate with prick,Heart hurts
The worst headache was during a hangover in my twenties: I sincerely thought I was going to die from brain inflammation.,Head ache
i have a problem in my middle ear made by infection,Ear ache
My television and computer seem out of focus even though I have new glasses.,Blurry vision
I have a break in the skin between my thumb and index finger and it will not close.,Open wound
When I brush my hair I notice big clumps of hair coming out in the brush.,Hair falling out
I feel pain in the knee when walking,Knee pain
I'm not feeling good I can't take my breath,Hard to breath
i can't move my shoulder because of pain,Shoulder pain
I feel pain inside and I can not identify it,Internal pain
I have an indigestion,Stomach ache
I m feeling cold though the temperature is high,Feeling cold
My body feels weak although I take my vitamins regularly.,Body feels weak
i feel pain in my body,Internal pain
"The pain is intense especially when I go down the stairs, it feels like something has snapped inside my knee.",Knee pain
"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?",Feeling dizzy
I get an ear ache when it is cold,Ear ache
My joints feel swollen,Joint pain
When I stand I feel dizzy I do not know why,Feeling dizzy
I feel lightheaded,Feeling dizzy
My lower back hurts but it improves if I stretch it,Muscle pain
I got acne when I ate chili,Acne
I could not exercise because of my knee pain,Knee pain
I'm not hearing well I have problem with my ear,Ear ache
A terrible fall in hair,Hair falling out
my ear hurts me badly,Ear ache
My son had a root canal and the dentist accidentally cut the inside of his cheek and now it will not heal.,Infected wound
heart aches so much,Heart hurts
My throught is so sore.,Neck pain
The pain in my ear is unbearable.,Ear ache
My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.,Infected wound
Chronic bone disease at the level of the doubles of the lower Estremidades,Knee pain
My knees hurt so bad to walk that I stay sitting more than I should.,Knee pain
I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex husband.,Emotional pain
My kneecap feels like it is grating bone on bone when I walk.,Knee pain
I feel suicidal.,Emotional pain
I feel pain in my joint after an injury in the last football match I played.,Joint pain
I feel dizzy whenever I stand up.,Feeling dizzy
"Annoyance starts suddenly, often after an injury or exercise.",Knee pain
I feel pain in my eyes I can see fog,Blurry vision
Can't keep focus,Head ache
I feel fluid trying to come up when I cough.,Cough
"My skin color on my back is red, I don't know why.",Skin issue
"My left ear is ok, but the right one feels like it's being stabbed with a nail.",Ear ache
I'm suffering from sharp cough Accompanied by  phlegm,Cough
"When I move my shoulder, it's like lightning is being sent through my shoulder",Shoulder pain
I feel a tightness in my chest,Hard to breath
My chest hurts when I smoke,Internal pain
I have a foot ache although I don't walk a lot.,Foot ache
i feel pain in my foot,Foot ache
I have a feeling like my whole body is complaining,Joint pain
I had a collision while playing soccer.  My knee buckled and now it's unstable.,Injury from sports
My acne gets worse when it is hot,Acne
I usually have a bad cough when I get flu.,Cough
"i was playing basketball yesterday, i have sprained ankle",Injury from sports
My chest break out with red pimples and whiteheads.,Acne
itch at front and center of scalp,Hair falling out
I feel pain in the lower back,Back pain
I have a dull ache in my head,Head ache
I get an ear ache when it is cold,Ear ache
I get breakouts on my chest with red patches that get more intense when i get hot.,Acne
i can't ride my car at night because i have blurry vision.,Blurry vision
I feel pain in the knee,Knee pain
I can't stand with this horrible feeling in my stomach,Stomach ache
"I get tired too fast, I can barely put on my clothes in the morning.",Body feels weak
When I tried to be warm and wear more clothes I found that I was still cold,Feeling cold
my ankle is hurting me,Joint pain
My knee is hurting so badly.,Joint pain
fell skull is cracked like nuts,Head ache
It is like I have a needle pushing through my heart.,Heart hurts
My chest acne breaks out and never clears up.,Acne
my hair isn't well,Hair falling out
It feels like someone stuck a knife into my shoulder,Shoulder pain
I feel a great amount of pressure of my head.,Head ache
my hand open wound got infected,Infected wound
I feel great pressure in my chest,Hard to breath
I'm not feeling good I can't take my breath,Hard to breath
i feel that it's hard to breath for me specially after running or making any effort,Hard to breath
I have an open wound in my arm,Open wound
i cant sleep because of cough,Cough
"It is hard to breath when I am in the underground metro station, why?",Hard to breath
I break out on my face very frequently,Acne
"can't do any exercise, i feel weak",Body feels weak
My knees hurt so bad to walk that I stay sitting more than I should.,Knee pain
My shoulder muscle hurts when I try to reach up.,Muscle pain
I'm very worried that I'll go bald soon. Am I very sick?,Hair falling out
i feel that is great pain in my left shoulder,Shoulder pain
I feel pain inside and I can not identify it,Internal pain
I feel a pain in my back,Back pain
Is there a cure for acne?,Acne
I have a pain in my muscle,Muscle pain
There is a sharp pain in my bicep. I have tried to apply pain relief cream but it does not help.,Muscle pain
I feel sad like hurt or pain,Emotional pain
