,phrase,prompt
143,¿Cómo saber si tiene un menisco desgarrado en la rodilla?,Dolor de rodilla
219,¿Existe una cura para el acné?,acné
332,¿Las espinillas son una enfermedad de la piel?,acné
434,¿Por qué me duele el hombro cuando trato de recoger la ropa?,Dolor de hombro
251,¿Qué ayuda a que los cortes se curen más rápido?,Herida abierta
136,A menudo me duele el estómago después de comer. No he podido determinar qué alimentos podrían ser el desencadenante.,Dolor de estómago
53,A menudo tengo un dolor agudo en el pecho y no puedo decir qué estoy haciendo que pueda desencadenarlo.,El corazón duele
331,A mi hija le perforaron las orejas y uno de los lóbulos de su oreja está rojo brillante y muy caliente.,Herida infectada
172,A mi hijo le hicieron un tratamiento de conducto y el dentista le cortó accidentalmente el interior de la mejilla y ahora no cicatriza.,Herida infectada
3,A mi hijo le perforaron el labio y está hinchado y la piel del interior del labio está gris y parece infectada.,Herida infectada
34,A veces me siento como una garra en el pecho que me deja sin aliento.,Difícil respirar
491,A veces toso porque soy fumador,Tos
604,Después de un duro día de trabajo me duele el pie,Dolor de pie
545,Después de comer tengo una sensación de ardor dentro de mí.,Dolor de estómago
547,"Después de jugar al tenis, tuve una sensación poderosa cerca de mi cuello.",Dolor de hombro
578,De repente me sentí mareado cuando me levanté.,Sintiéndose mareado
699,Cada vez que juego al tenis siento un dolor en el hombro,Dolor de hombro
373,Apenas tengo fuerzas para levantarme,El cuerpo se siente débil
566,"Al principio se siente muy entumecido, pero luego mil agujas comienzan a pincharme el pie.",Dolor de pie
87,"Aunque soy un adulto, me siguen saliendo granos en la cara.",acné
197,"ayer estaba jugando baloncesto, me he torcido el tobillo",Lesión por deportes
351,"Cada mañana, cuando me despierto, mi cuello se siente como si hubiera dormido mal.",Dolor muscular
47,"Cada vez que hago un esfuerzo, me siento mareado.",Sintiéndose mareado
426,Cada vez que miro a la izquierda siento un dolor agudo en el cuello.,dolor de cuello
110,Cada vez que respiro hondo empiezo a toser,Tos
349,caigo al suelo al intentar lanzar una pelota de baloncesto,Lesión por deportes
314,"Caminé un largo 3 km, siento dolor en el pie como dolor de pie",Dolor de pie
286,Casi todos los días me duele la cabeza,Dolor de cabeza
660,calambres a lo largo de todo el abdomen,Dolor de estómago
388,Creo que me excedí cuando saqué toda esa madera del patio. Mi espalda baja me está matando.,Dolor de espalda
38,Creo que mi herida esta infectada,Herida infectada
362,Creo que tengo líquido en los oídos.,Dolor de oidos
322,"Cuando como azúcar, noto que mi visión se vuelve borrosa.",visión borrosa
267,"Cuando como demasiada azúcar, mi cuerpo se debilita y se marea.",El cuerpo se siente débil
485,Cuando como siento que me duele el estómago,Dolor de estómago
473,"Cuando conduzco, mis ojos ven al doble",visión borrosa
367,Cuando era joven tuve una lesión por hacer deporte en mi rodilla.,Lesión por deportes
481,Cuando estoy demasiado alto empiezo a sentirme mareado,Sintiéndose mareado
111,cuando extiendo la pierna hay dolor en la articulación de la rodilla,Dolor en las articulaciones
291,Cuando hago deporte tengo dolor debajo de la piel,Dolor muscular
128,Cuando hago deporte tengo una sensación de ardor en la columna,Dolor de espalda
518,"Cuando intenté contestar la llamada telefónica, descubrí que no podía escuchar la voz del altavoz.",Dolor de oidos
309,Cuando juego al fútbol tengo dolor en las articulaciones.,Dolor en las articulaciones
387,Cuando juego al fútbol tengo dolores musculares.,Dolor muscular
243,Cuando jugaba futbol me disloqué el hombro,Lesión por deportes
0,Cuando la recuerdo me siento mal,Dolor emocional
427,cuando levanto la mano siento dolor en el hombro.,Dolor de hombro
312,Cuando llevo cosas pesadas siento ganas de romperme la espalda,Dolor de espalda
1,Cuando llevo cosas pesadas siento ganas de romperme la espalda,Caída de cabello
381,"Cuando me agacho, siento un dolor punzante en la espalda",Dolor de espalda
155,"Cuando me cepillo el pelo, noto que salen grandes mechones de pelo en el cepillo.",Caída de cabello
254,Cuando me despierto por la mañana me siento extraño y tengo vértigo,Sintiéndose mareado
42,cuando me despierto por la mañana me siento mareado,Sintiéndose mareado
235,Cuando me despierto por la mañana siento un dolor en mi cuerpo,Dolor muscular
227,Cuando me despierto siento frio,Siento frio
113,cuando me estaba lavando el pelo se caía mucho,Caída de cabello
52,"Cuando me levanto demasiado rápido, empiezo a sentirme mareado y mareado",Sintiéndose mareado
259,"Cuando me levanto demasiado rápido, mi visión es borrosa.",visión borrosa
88,"Cuando me levanto por la mañana, mi cuerpo se siente muy débil.",El cuerpo se siente débil
413,"Cuando me levanto, siento que me voy a caer instantáneamente",Sintiéndose mareado
166,Cuando me paro me siento mareado no se porque,Sintiéndose mareado
299,Cuando me voy a dormir siento frio,Siento frio
190,"Cuando muevo mi hombro, es como si un relámpago atravesara mi hombro",Dolor de hombro
461,Cuando murió mi abuelo sentí un fuerte dolor emocional,Dolor emocional
363,"Cuando obligo a mis ojos a ver, tengo una visión borrosa.",visión borrosa
204,"Cuando traté de estar abrigado y usar más ropa, descubrí que todavía tenía frío",Siento frio
330,de pie menos de cinco minutos y me empieza a doler la espalda,Dolor de espalda
262,"Debe haber algo mal con mi circulación sanguínea, tengo que usar calcetines incluso en los días más calurosos, ¡mis dedos están congelados!",Siento frio
109,Dejé los deportes porque me lesioné por los deportes,Lesión por deportes
340,Desde que entré al bosque me duele la oreja,Dolor de oidos
445,Desearía que este doloroso sentimiento de pérdida desapareciera.,Dolor emocional
256,Después de caminar me duele un poco el pie,Dolor de pie
484,"después de jugar al fútbol, ​​tengo dolores musculares en ambas piernas.",Dolor muscular
354,"Después de una ruptura, siento algo extraño en mí.",Dolor emocional
406,Dolor agudo y respiración pesada,Dolor interno
320,Dolor de estómago después de beber leche.,Dolor de estómago
242,Dolor intestinal crónico,Dolor interno
310,Dolor severo en el oído,Dolor de oidos
12,Dr. Siento un dolor extraño y poderoso dentro de mi caja torácica.,El corazón duele
318,Duele cuando doblo mi brazo,Dolor en las articulaciones
265,Duele cuando levanto mi brazo,Dolor de hombro
280,El acné me estaba haciendo sentir avergonzado.,acné
188,"El color de la piel de mi espalda es rojo, no sé por qué.",Problema de la piel
173,el corazón duele tanto,El corazón duele
206,el cráneo caído está roto como nueces,Dolor de cabeza
85,El desagüe de la ducha siempre está lleno de pelo.,Caída de cabello
175,El dolor en mi oído es insoportable.,Dolor de oidos
163,"El dolor es intenso, especialmente cuando bajo las escaleras, siento como si algo se hubiera roto dentro de mi rodilla.",Dolor de rodilla
123,El dolor se siente como si estuviera justo debajo de la piel.,Dolor muscular
261,El dolor severo en el estómago que siento,Dolor de estómago
151,El peor dolor de cabeza fue durante una resaca en mis veintes: sinceramente pensé que iba a morir de una inflamación cerebral.,Dolor de cabeza
480,En la escuela secundaria tuve mucho acné.,acné
222,"Encontré algunos problemas en mi piel y traté de usar crema, pero no mejora.",Problema de la piel
50,enfermedad crónica de los folículos pilosos y las glándulas sebáceas.,acné
311,Enfermedad crónica de los folículos pilosos y las glándulas sebáceas.,acné
177,Enfermedad ósea crónica a nivel de los dobles de las Extremidades inferiores,Dolor de rodilla
516,enrojecimiento acompañado de picazón,Problema de la piel
706,"enrojecimiento, hinchazón y dificultad para caminar",Dolor de rodilla
207,Es como si tuviera una aguja atravesando mi corazón.,El corazón duele
231,Es difícil pararse y me muevo muy lentamente,El cuerpo se siente débil
326,Es dificil ver las cosas,visión borrosa
478,"Es posible que me haya exagerado con el levantamiento de pesas, porque temo haberme desgarrado un músculo de la espalda.",Lesión por deportes
283,estaba jugando al fútbol y las lesiones con dolor en las articulaciones.,Dolor en las articulaciones
137,Estaba jugando futbol y me torcí el tobillo,Lesión por deportes
374,Esterilizador para el ojo,visión borrosa
135,estoy decepcionado,Dolor emocional
419,estoy lesionado no puedo hacer deporte,Lesión por deportes
124,"Estoy luchando por soportar peso en mi rodilla, cuando me paro derecho siento y escucho un fuerte estallido.",Dolor de rodilla
217,Estoy muy preocupado de quedarme calvo pronto. Estoy muy enferma?,Caída de cabello
341,"Estoy preocupado por mi forma de conducir, porque apenas puedo concentrarme cuando estoy al volante, mis ojos se sienten llorosos.",visión borrosa
390,estoy teniendo problemas para ver las cosas se sienten como una nube en mis ojos todo está borroso,visión borrosa
588,"Incluso si la temperatura es alta en la casa, mi cuerpo siempre está frío.",Siento frio
612,"Cada vez que me peino, hay tantos cabellos en mi peine.",Caída de cabello
558,Cada vez que llueve tengo urticaria en el vientre y los costados.,Problema de la piel
228,hay acné en mi cara,acné
45,Hay dolor en los músculos que no sé causado,Dolor muscular
360,Hay hinchazón en mi cuello y me duele.,dolor de cuello
315,"Hay momentos en los que me siento aplastado bajo un gran peso y no me llega aire a los pulmones, en realidad me asusta muchísimo cuando sucede.",Difícil respirar
2,hay mucho dolor cuando muevo el brazo,El corazón duele
232,Hay mucho dolor cuando muevo el brazo.,Dolor de hombro
288,Hay muchos pelos en mi almohada por la mañana.,Caída de cabello
287,Hay un cosquilleo constante en mi garganta,Tos
407,Hay un dolor agudo en la pantorrilla.,Dolor muscular
245,Hay un dolor que se irradia desde mi pecho hasta mi brazo izquierdo.,El corazón duele
146,hay una mancha roja en mi piel,Problema de la piel
264,Hay una persona herida,Herida infectada
449,Hay unos granitos en mi cara que me molestan mucho,acné
496,He intentado hacer un masaje en mi pie pero todavía me duelen,Dolor de pie
306,"He intentado leer libros, pero nada puede animarme.",Dolor emocional
507,"He superado mi resfriado durante semanas, pero sigo tosiendo todos los días.",Tos
399,He tenido esta tos durante dos semanas.,Tos
108,He tratado de aliviarlo pero no puedo,El cuerpo se siente débil
670,Escuchar cualquier sonido fuerte me duele el oído,Dolor de oidos
646,respiración pesada con fatiga,Dolor emocional
89,"heridas quirúrgicas enrojecidas, con pus, dolorosas y calientes al tacto",Herida infectada
455,Siempre siento que tengo dolores menstruales incluso si no tengo mi período.,Dolor interno
460,"Siempre tengo frío, incluso cuando llevo capas",Siento frio
605,"Me siento tan mareado, el cuerpo es tan frágil.",El cuerpo se siente débil
519,Casi no puedo respirar,Difícil respirar
571,Apenas puedo mover el cuello. Duele.,dolor de cuello
508,"No puedo oír bien por el oído, siento que hay algo que me causa irritación.",Dolor de oidos
634,No puedo levantarme ni sentarme Tengo un dolor en la espalda que me molesta,Dolor de espalda
554,"No puedo ponerme de pie, siento que mi cerebro se mueve dentro de mi cráneo.",Dolor de cabeza
